Date,PMI,GS10,M2SL,UNRATE,CPIAUCSL,INDPRO
1970-01-01,52,7.79,589.6,3.9,37.9,37.9948
1970-02-01,48.7,7.24,586.3,4.2,38.1,37.9698
1970-03-01,47.4,7.07,587.3,4.4,38.3,37.9205
1970-04-01,46.9,7.39,588.4,4.6,38.5,37.823
1970-05-01,45,7.91,591.5,4.8,38.6,37.7789
1970-06-01,47.2,7.84,595.2,4.9,38.8,37.6567
1970-07-01,51.1,7.46,599.1,5,38.9,37.7491
1970-08-01,49.5,7.53,604.9,5.1,39,37.6818
1970-09-01,47.3,7.39,611.2,5.4,39.2,37.4221
1970-10-01,44.1,7.33,616.4,5.5,39.4,36.6735
1970-11-01,42.4,6.84,621.1,5.9,39.6,36.4514
1970-12-01,39.7,6.39,626.5,6.1,39.8,37.2885
1971-01-01,45.4,6.24,632.9,5.9,39.9,37.5753
1971-02-01,47.9,6.11,641,5.9,39.9,37.5037
1971-03-01,54.8,5.7,649.9,6,40,37.4631
1971-04-01,51.2,5.83,658.4,5.9,40.1,37.6735
1971-05-01,54.5,6.39,666.7,5.9,40.3,37.8646
1971-06-01,54.2,6.52,673,5.9,40.5,38.0234
1971-07-01,53.8,6.73,679.6,6,40.6,37.9131
1971-08-01,54.4,6.58,685.5,6.1,40.7,37.693
1971-09-01,53.6,6.14,692.5,6,40.8,38.3056
1971-10-01,55.1,5.93,698.4,5.8,40.9,38.5924
1971-11-01,55,5.81,704.6,6,41,38.7561
1971-12-01,52.3,5.93,710.3,6,41.1,39.2035
1972-01-01,57.6,5.95,717.7,5.8,41.2,40.1408
1972-02-01,59.6,6.08,725.7,5.7,41.4,40.5459
1972-03-01,60.6,6.07,733.5,5.8,41.4,40.8263
1972-04-01,59.8,6.19,738.4,5.7,41.5,41.2348
1972-05-01,59.3,6.13,743.3,5.7,41.6,41.2405
1972-06-01,61.4,6.11,749.7,5.7,41.7,41.3497
1972-07-01,58.6,6.11,759.5,5.6,41.8,41.3035
1972-08-01,60.1,6.21,768.7,5.6,41.9,41.879
1972-09-01,61.7,6.55,778.3,5.5,42.1,42.2132
1972-10-01,65.1,6.48,786.9,5.6,42.2,42.7494
1972-11-01,67,6.28,793.9,5.3,42.4,43.2548
1972-12-01,69.9,6.36,802.3,5.2,42.5,43.7367
1973-01-01,70.5,6.46,810.3,4.9,42.7,44.0529
1973-02-01,72.1,6.64,814.1,5,43,44.6827
1973-03-01,69.6,6.71,815.3,4.9,43.4,44.7045
1973-04-01,69.6,6.67,819.7,5,43.7,44.6387
1973-05-01,67.7,6.85,826.8,4.9,43.9,44.9429
1973-06-01,64.8,6.9,833.3,4.9,44.2,45.0035
1973-07-01,65,7.13,836.5,4.8,44.2,45.1636
1973-08-01,57.8,7.4,838.8,4.8,45,45.1019
1973-09-01,62.7,7.09,839.3,4.8,45.2,45.4624
1973-10-01,63.5,6.79,842.6,4.6,45.6,45.847
1973-11-01,66.2,6.73,848.9,4.8,45.9,46.0553
1973-12-01,68.1,6.74,855.5,4.9,46.3,45.923
1974-01-01,63.6,6.99,859.7,5.1,46.8,45.6204
1974-02-01,62.1,6.96,864.2,5.2,47.3,45.4759
1974-03-01,58.6,7.21,870.1,5.1,47.8,45.4777
1974-04-01,61.8,7.51,872.9,5.1,48.1,45.3451
1974-05-01,59.9,7.58,874.6,5.1,48.6,45.7044
1974-06-01,55.7,7.54,877.8,5.4,49,45.6238
1974-07-01,54.7,7.81,881.4,5.5,49.3,45.7221
1974-08-01,54.8,8.04,884.1,5.5,49.9,45.2366
1974-09-01,52.9,8.04,887.9,5.9,50.6,45.2365
1974-10-01,46.2,7.9,893.3,6,51,45.1133
1974-11-01,42.7,7.68,898.6,6.6,51.5,43.6278
1974-12-01,37.9,7.43,902.1,7.2,51.9,42.0533
1975-01-01,30.9,7.5,906.3,8.1,52.3,41.4676
1975-02-01,30.7,7.39,914.1,8.1,52.6,40.5165
1975-03-01,34.4,7.73,925,8.6,52.8,40.0638
1975-04-01,31.6,8.23,935.1,8.8,53,40.1573
1975-05-01,37.5,8.06,947.9,9,53.1,40.0253
1975-06-01,41.2,7.86,963,8.8,53.5,40.2772
1975-07-01,45.1,8.06,975.1,8.6,54,40.6994
1975-08-01,47.2,8.4,983.1,8.4,54.2,41.0998
1975-09-01,51.4,8.43,991.5,8.4,54.6,41.6304
1975-10-01,54.4,8.14,997.8,8.4,54.9,41.8135
1975-11-01,55.5,8.05,1006.9,8.3,55.3,41.8697
1975-12-01,54.5,8,1016.2,8.2,55.6,42.4414
1976-01-01,54.9,7.74,1026.6,7.9,55.8,43.0012
1976-02-01,58.8,7.79,1040.3,7.7,55.9,43.4229
1976-03-01,61.5,7.73,1050,7.6,56,43.5168
1976-04-01,58.4,7.56,1060.8,7.7,56.1,43.7327
1976-05-01,60.6,7.9,1072.1,7.4,56.4,43.9186
1976-06-01,58.8,7.86,1077.6,7.6,56.7,43.9637
1976-07-01,58.2,7.83,1086.3,7.8,57,44.2141
1976-08-01,55.9,7.77,1098.7,7.8,57.3,44.5182
1976-09-01,54.5,7.59,1110.8,7.6,57.6,44.6721
1976-10-01,53.6,7.41,1125,7.7,57.9,44.6585
1976-11-01,53.5,7.29,1138.2,7.8,58.1,45.3392
1976-12-01,51.7,6.87,1152,7.8,58.4,45.8294
1977-01-01,56.6,7.21,1165.2,7.5,58.7,45.5087
1977-02-01,54.8,7.39,1177.6,7.6,59.3,46.2277
1977-03-01,55,7.46,1188.5,7.4,59.6,46.8185
1977-04-01,58.4,7.37,1199.6,7.2,60,47.2684
1977-05-01,56.9,7.46,1209,7,60.2,47.6411
1977-06-01,59.7,7.28,1217.8,7.2,60.5,48.0116
